Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS
19719	14.5973	89	0.249216	0.000857351	1.70588	0.685994	0.165359	0.20183	1	0	1.2	0.421637	0.0730858
19720	12.3995	37732	0.197741	0.000977312	16.7059	3.11779	0.9338	0.0295349	0.667532	0.117588	25.0588	7.80601	0.00627766
19721	11.2759	770	0.279546	0.00048711	2.82353	0.882843	0.452194	0.175398	0.932292	0.122545	2.25	1.12546	-0.124147
19722	8.82967	18	0.111716	0.000697062	1.11765	0.332106	0.0125117	0.0396225	1	0	1	0	-0.0461538
19723	14.1442	18	0.250006	0.000296261	1	0	0	0	0	0	0	0	0
19724	8.18009	168	0.158177	0.000175731	1.35294	0.606339	0.0673203	0.141919	1	0	1.2	0.447214	0.0797721
19725	12.6773	24	0.238653	0.000364161	1.11765	0.332106	0.0377218	0.107198	1	0	1	0	0.137056
19726	11.7622	6777	0.246665	0.000852069	6.76471	1.39326	0.777591	0.0685989	0.911682	0.137769	6.70588	2.54374	-0.00890208
19727	12.7386	4372	0.188023	0.000150834	3.11765	0.92752	0.513632	0.111934	0.968627	0.0916444	2.29412	1.21268	0.0403738
19728	13.8009	49892	0.158697	0.000925247	14.3529	2.20627	0.921475	0.0184438	0.700311	0.182167	21.4118	8.40431	0.0400083
19729	13.1366	31	0.202583	0.000917568	1.11765	0.332106	0.0331466	0.123087	1	0	1	0	-0.0872093
19730	10.4106	61	0.202234	0.000851127	1.41176	0.5073	0.110458	0.163358	1	0	1	0	0.0850694
19731	11.2251	15	0.257288	0.000909292	1.11765	0.332106	0.0394958	0.128127	1	0	1	0	-0.0780488
19732	14.4238	48	0.118108	0.00041414	1.11765	0.332106	0.0126984	0.0358463	1	0	1	0	-0.030303
19733	12.3146	5955	0.157626	0.000836962	7.64706	1.90201	0.812605	0.0502873	0.861658	0.14823	8.23529	3.11307	-0.00141945
19734	10.9415	41731	0.113125	0.000131699	5.52941	1.4194	0.718861	0.103414	0.892125	0.145084	5.35294	1.96663	0.0419338
19735	11.3224	384	0.219836	0.00063203	2.05882	0.899346	0.273483	0.246293	1	0	1.63636	0.504525	-0.127337
19736	12.9934	24237	0.196341	0.000388106	7.64706	1.72993	0.812979	0.0789298	0.861326	0.154854	8.11765	2.36861	0.019733
19737	8.66575	5548	0.269077	0.000437805	5.17647	1.0146	0.684874	0.112682	0.914146	0.131192	4.88235	1.93269	-0.0119332
